Denumire,Cod livrabil,Tip proiect aplicabil,Faza,Ordine,Offset termen (zile),Offset fata de implementare,Rol responsabil,Rol aprobator,Obligatoriu,Necesita document,Conditie de aplicabilitate,Sablon Word,Activ
"Dosar de mostra (fisa, poze, dovada livrarii)",LIV-16,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,03 Mostre,2,10,,Suport R&D,Tehnolog,Da,Da,Intotdeauna,DMOSTRA,Da
Feedback client la mostra,LIV-17,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,03 Mostre,3,12,,KAM,,Da,Da,Intotdeauna,,Da
Antecalcul,LIV-18,Produs nou;Reformulare;Optimizare cost;Ambalaj nou,04 Antecalcul,1,7,,Tehnolog,Manager R&D,Da,Da,Intotdeauna,ANTECALC,Da
Confirmare de pret de la client,LIV-19,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,04 Antecalcul,2,12,,KAM,,Nu,Da,Intotdeauna,,Da
Conditii ST,LIV-20,Produs nou;Reformulare;Abatere;Optimizare cost;Ambalaj nou,05 Specificatii,1,6,,Tehnolog,Calitate,Da,Da,Intotdeauna,CONDST,Da
ST draft,LIV-21,Produs nou;Reformulare;Abatere;Optimizare cost;Ambalaj nou,05 Specificatii,2,10,,Tehnolog,Calitate,Da,Da,Intotdeauna,,Da
ST interna pentru MP noua,LIV-22,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,05 Specificatii,3,8,,Calitate,Calitate,Da,Da,Doar MP noua,,Da
Material SAP creat pentru MP noua,LIV-23,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,05 Specificatii,4,9,,Achizitii,,Da,Nu,Doar MP noua,,Da
ST finala,LIV-24,Produs nou;Reformulare;Abatere;Optimizare cost;Ambalaj nou,05 Specificatii,5,13,,Tehnolog,Calitate,Da,Da,Intotdeauna,,Da
SDP - specificatie de produs,LIV-25,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,05 Specificatii,6,14,,Tehnolog,Calitate,Da,Da,Intotdeauna,SDP,Da
Material SAP creat pentru produsul finit,LIV-26,Produs nou;Transfer pe alta linie;Optimizare cost;Ambalaj nou,05 Specificatii,7,13,,Tehnolog,Manager R&D,Da,Nu,Intotdeauna,,Da
Alergeni si valori nutritionale calculate,LIV-27,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost,05 Specificatii,8,12,,Tehnolog,Calitate,Da,Nu,Intotdeauna,,Da
Eticheta realizata (punga si bax),LIV-28,Produs nou;Reformulare;Abatere;Ambalaj nou,06 Eticheta,1,14,,Suport R&D,Calitate,Da,Da,Doar eticheta noua,,Da
Fisier de imprimanta Colos / Zebra,LIV-29,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,06 Eticheta,2,15,,Suport R&D,,Nu,Da,Doar eticheta noua,,Da
Eticheta implementata pe linie,LIV-30,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Ambalaj nou,06 Eticheta,3,18,,Productie,Tehnolog,Da,Nu,Doar eticheta noua,,Da
Conditii IPN,LIV-31,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,07 Implementare,1,15,,Tehnolog,Manager R&D,Da,Da,Intotdeauna,CONDIPN,Da
Plan IPN,LIV-32,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,07 Implementare,2,15,,Tehnolog,Manager R&D,Da,Da,Intotdeauna,PLANIPN,Da
IL productie creata,LIV-33,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,07 Implementare,3,16,,Tehnolog,Productie,Da,Da,Intotdeauna,,Da
Plan HACCP actualizat si aprobat,LIV-34,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,07 Implementare,4,16,,Calitate,Calitate,Da,Da,Intotdeauna,,Da
Instruire operatori efectuata,LIV-35,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,07 Implementare,5,17,,Productie,Tehnolog,Da,Da,Intotdeauna,,Da
Productie 0 realizata si inregistrata,LIV-36,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,07 Implementare,6,18,,Tehnolog,Manager R&D,Da,Da,Intotdeauna,,Da
Raport de productie 0 cu decizie,LIV-37,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,07 Implementare,7,19,,Tehnolog,Manager R&D si Calitate,Da,Da,Intotdeauna,RPROD0,Da
Dosar validat complet,LIV-38,Produs nou;Reformulare;Transfer pe alta linie;Optimizare cost;Ambalaj nou,08 Dosar validat,1,20,,Suport R&D,Manager R&D,Da,Da,Intotdeauna,DOSAR,Da
"TDV validat, semnat R&D si Calitate",LIV-39,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,08 Dosar validat,2,20,,Manager R&D,Calitate,Da,Da,Intotdeauna,TDV,Da
Predare catre productie si comercial,LIV-40,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,08 Dosar validat,3,20,,Manager R&D,,Da,Nu,Intotdeauna,,Da
Revizuire la 30 de zile,LIV-41,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,09 Revizuire,1,,30,Manager R&D,,Nu,Da,Intotdeauna,RPI30,Da
Revizuire la 60 de zile,LIV-42,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,09 Revizuire,2,,60,Manager R&D,,Nu,Da,Intotdeauna,RPI60,Da
Revizuire la 90 de zile cu decizie finala,LIV-43,Produs nou;Reformulare;Abatere;Transfer pe alta linie;Optimizare cost;Ambalaj nou,09 Revizuire,3,,90,Manager R&D,Head of R&D,Da,Da,Intotdeauna,RPI90,Da
